01-14-2020 INFO o.a.c.c.C.[.[.[/apiTest] || [localhost-startStop-1] -log-180- Initializing Spring embedded WebApplicationContext
01-14-2020 INFO o.s.w.c.ContextLoader || [localhost-startStop-1] -prepareEmbeddedWebApplicationContext-276- Root WebApplicationContext: initialization completed in 17361 ms
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [localhost-startStop-1] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4c53c12e: startup date [Tue Jan 14 22:21:52 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [localhost-startStop-1] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final java.sql.Connection io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getConnection(java.lang.String,java.lang.String) throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final java.sql.Connection io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getConnection(java.lang.String,java.lang.String) throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final java.io.PrintWriter io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getLogWriter() throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final java.io.PrintWriter io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getLogWriter() throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final java.util.logging.Logger io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getParentLogger() throws java.sql.SQLFeatureNotSupportedException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final java.util.logging.Logger io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.getParentLogger() throws java.sql.SQLFeatureNotSupportedException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final void io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.setLogWriter(java.io.PrintWriter) throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
01-14-2020 INFO o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-268- Final method [public final void io.shardingjdbc.core.jdbc.adapter.AbstractDataSourceAdapter.setLogWriter(java.io.PrintWriter) throws java.sql.SQLException] cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.
01-14-2020 WARN o.s.a.f.CglibAopProxy || [localhost-startStop-1] -doValidateClass-265- Unable to proxy interface-implementing method [public final int io.shardingjdbc.core.jdbc.unsupported.AbstractUnsupportedOperationDataSource.getLoginTimeout() throws java.sql.SQLException] because it is marked as final: Consider using interface-based JDK proxies instead!
